# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272827,12,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
256925,1,4,3000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/3000
256926,1,4,3000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/3000
256926,41,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
260571,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260568,None,None,1,HLT_PFJet80_v4,ONE,L1_SingleJet52
260572,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260576,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260577,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260570,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
260575,1,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
272922,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272922,19,5,600,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/600
272924,1,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
272927,1,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
272927,11,5,600,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/600
272927,64,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
272929,None,None,1,HLT_PFJet80_v4,ONE,L1_SingleJet60
272930,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272930,17,5,45000,HLT_PFJet80_v4/75,ONE,L1_SingleJet60/600
272930,156,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272930,160,5,45000,HLT_PFJet80_v4/75,ONE,L1_SingleJet60/600
272921,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272923,1,5,600,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/600
272925,None,None,1,HLT_PFJet80_v4,ONE,L1_SingleJet60
272926,1,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
272936,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272935,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272935,5,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272935,30,12,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272935,66,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
273017,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
273017,11,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
273063,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
273012,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
273012,5,12,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
273013,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
273136,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
273136,4,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
251163,1,7,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251562,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251604,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251604,16,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251633,5,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
251635,31,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
256865,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256866,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256867,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256867,26,6,800,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/800
256867,55,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256867,56,6,800,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/800
256868,1,6,800,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/800
256868,382,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256869,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256924,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
256924,11,4,3000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/3000
257682,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257682,75,6,800,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/800
257751,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258174,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258174,22,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258174,161,1,10000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/10000
258175,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258177,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258211,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258214,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258215,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258282,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
272907,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272907,12,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272908,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272908,5,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
273006,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
273006,4,12,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
273138,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
273150,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
273150,4,6,3000,HLT_PFJet80_v4/150,ONE,L1_SingleJet60/20
273150,40,5,120000,HLT_PFJet80_v4/3000,ONE,L1_SingleJet60/40
273143,1,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
273145,1,6,20,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/20
273142,None,None,1,HLT_PFJet80_v4,ONE,L1_SingleJet60
273146,1,6,3000,HLT_PFJet80_v4/150,ONE,L1_SingleJet60/20
273158,1,5,120000,HLT_PFJet80_v4/3000,ONE,L1_SingleJet60/40
273158,17,6,3000,HLT_PFJet80_v4/150,ONE,L1_SingleJet60/20
273158,32,5,120000,HLT_PFJet80_v4/3000,ONE,L1_SingleJet60/40
273276,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
253887,43,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254279,1,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254279,5,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254279,9,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254279,10,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
256842,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
256842,6,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258742,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258749,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258750,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258959,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258959,12,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
272681,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272681,11,1,75000,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3000
272682,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272680,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272680,13,6,500,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/20
272728,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272728,58,12,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272728,104,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272729,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272746,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272747,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272748,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272748,9,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272750,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272762,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272786,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272787,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272782,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272782,48,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272785,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272784,1,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272783,1,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272798,1,9,150,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/6
272798,90,10,100,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/4
272791,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272791,21,11,75,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/3
272809,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272814,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272818,1,7,375,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/15
272807,1,0,0,HLT_PFJet80_v4/1,ONE,L1_SingleJet60/0
272812,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272816,1,7,375,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/15
272811,1,6,1000,HLT_PFJet80_v4/50,ONE,L1_SingleJet60/20
272815,1,0,0,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/0
272815,6,7,375,HLT_PFJet80_v4/25,ONE,L1_SingleJet60/15
254282,6,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254282,9,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254289,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
256935,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
256935,2,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256936,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256941,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257024,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257398,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257399,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257460,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257490,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257529,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257529,4,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257529,11,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
257529,12,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257598,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257599,2,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258335,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258403,1,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258403,9,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258403,18,1,50000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/10000
258403,19,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258423,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258425,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258427,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258428,1,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
258703,1,4,15000,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/3000
258703,262,5,7500,HLT_PFJet80_v3/5,ONE,L1_SingleJet52/1500
260583,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
260583,3,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
254230,1,1,10000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/10000
254230,21,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254232,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
256629,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256630,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256672,1,1,20000,HLT_PFJet80_v3/2,ONE,L1_SingleJet52/10000
256672,7,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
256673,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
251522,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251523,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251559,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251559,65,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251560,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251561,1,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251612,1,10,0,HLT_PFJet80_v2/0,ONE,L1_SingleJet52/65537
251612,11,6,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
251636,1,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
251640,1,5,30000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/30000
254293,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254294,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254308,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254310,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254362,1,9,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
257027,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257397,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257400,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
257824,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
258310,1,1,10000,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/10000
272023,1,0,0,HLT_PFJet80_v4/5,ONE,L1_SingleJet60/0
251121,1,10,65537,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/65537
253947,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253948,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253950,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
253954,1,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
253954,6,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254226,18,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254290,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254292,1,10,2000,HLT_PFJet80_v2/2,ONE,L1_SingleJet52/1000
254306,1,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254306,7,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254306,10,1,60000,HLT_PFJet80_v2/6,ONE,L1_SingleJet52/10000
254306,11,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
254307,1,11,1000,HLT_PFJet80_v2/1,ONE,L1_SingleJet52/1000
257805,1,5,1500,HLT_PFJet80_v3/1,ONE,L1_SingleJet52/1500
259636,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259636,2,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
259636,6,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259636,7,4,15000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/3000
259636,51,5,7500,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/1500
259637,1,1,50000,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/10000
259637,4,5,7500,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/1500
259686,1,5,7500,HLT_PFJet80_v4/5,ONE,L1_SingleJet52/1500
